latitude,longitude,measured_on,optical thickness,transmission percent
45.81672,-118.49085,08-05-2020,0.08463371,91.8848788
45.81672,-118.49085,08-05-2020,0.092920086,91.12663202
36.290455,-93.296115,08-05-2020,0.109339672,89.64258754
36.290455,-93.296115,08-05-2020,0.097849753,90.67851353
36.323437,-93.258022,08-05-2020,0.110377654,89.54958841
36.323437,-93.258022,08-05-2020,0.06747961,93.47467797
36.323437,-93.258022,08-05-2020,0.069685009,93.26875618
36.323437,-93.258022,07-05-2020,0.141036773,86.84573753
36.323437,-93.258022,07-05-2020,0.128557617,87.93628949
36.290455,-93.296115,07-05-2020,0.134520175,87.4135243
36.290455,-93.296115,07-05-2020,0.127788314,88.00396514
45.81672,-118.49085,07-05-2020,0.088428187,91.5368844
45.81672,-118.49085,07-05-2020,0.10068658,90.42163884
45.81672,-118.49085,07-05-2020,0.107177288,89.83663893
36.290455,-93.296115,06-05-2020,0.128294153,87.95946059
36.290455,-93.296115,06-05-2020,0.096931046,90.76185882
36.290455,-93.296115,06-05-2020,0.091828031,91.22620168
36.290455,-93.296115,06-05-2020,0.071557636,93.09426202
36.323437,-93.258022,06-05-2020,0.075203236,92.75549548
36.323437,-93.258022,06-05-2020,0.076934537,92.59504669
36.323437,-93.258022,06-05-2020,0.063647801,93.83354217
36.323437,-93.258022,06-05-2020,0.072780973,92.980446
36.290455,-93.296115,05-05-2020,0.074013024,92.86595992
45.81672,-118.49085,05-05-2020,0.132611015,87.58057007
36.290455,-93.296115,05-05-2020,0.054372403,94.7079346
45.81672,-118.49085,04-05-2020,0.100079792,90.47652217
36.323437,-93.258022,02-05-2020,0.135053155,87.3669471
36.323437,-93.258022,02-05-2020,0.142672481,86.70379938
36.290455,-93.296115,02-05-2020,0.141708864,86.78738891
36.290455,-93.296115,02-05-2020,0.140325,86.90757396
36.323437,-93.258022,02-05-2020,0.130090226,87.80162072
45.81672,-118.49085,02-05-2020,0.134629411,87.40397613
45.81672,-118.49085,02-05-2020,0.136876858,87.20776087
36.323437,-93.258022,02-05-2020,0.128721785,87.92185433
36.290455,-93.296115,02-05-2020,0.10849802,89.71806713
36.290455,-93.296115,02-05-2020,0.112052232,89.39975614
45.81672,-118.49085,01-05-2020,0.095400415,90.90088805
45.81672,-118.49085,01-05-2020,0.096400714,90.81000544
45.81672,-118.49085,01-05-2020,0.093028267,91.11677435
45.81672,-118.49085,01-05-2020,0.102682204,90.24137114
36.290455,-93.296115,30-04-2020,0.094700984,90.96448924
36.290455,-93.296115,30-04-2020,0.098052877,90.66009638
36.290455,-93.296115,30-04-2020,0.279478241,75.61781814
36.290455,-93.296115,30-04-2020,0.175088547,83.93826927
36.323437,-93.258022,29-04-2020,0.082356088,92.09439632
36.323437,-93.258022,29-04-2020,0.086521272,91.71160393
36.290455,-93.296115,29-04-2020,0.12713421,88.06154776
36.290455,-93.296115,29-04-2020,0.118047489,88.86538506
41.032002,-74.574892,28-04-2020,0.075432311,92.73424993
36.323437,-93.258022,28-04-2020,0.159326875,85.27175812
45.81672,-118.49085,28-04-2020,0.057493015,94.41284855
36.323437,-93.258022,28-04-2020,0.157956349,85.38870539
36.290455,-93.296115,28-04-2020,0.162298204,85.01876372
36.290455,-93.296115,28-04-2020,0.158232735,85.36510845
36.323437,-93.258022,26-04-2020,0.109999714,89.58343917
36.323437,-93.258022,26-04-2020,0.097075725,90.7487284
36.290455,-93.296115,26-04-2020,0.126081248,88.15432205
36.290455,-93.296115,26-04-2020,0.110173959,89.56783107
36.290455,-93.296115,25-04-2020,0.13140184,87.68653438
36.290455,-93.296115,25-04-2020,0.118358515,88.83774993
36.323437,-93.258022,25-04-2020,0.127041164,88.06974186
36.323437,-93.258022,25-04-2020,0.119409583,88.74442443
36.290455,-93.296115,23-04-2020,0.098790788,90.59322202
36.290455,-93.296115,23-04-2020,0.091076392,91.29479666
36.323437,-93.258022,23-04-2020,0.091517529,91.25453202
36.323437,-93.258022,23-04-2020,0.095927222,90.85301343
36.323437,-93.258022,23-04-2020,0.101358976,90.36086012
36.323437,-93.258022,23-04-2020,0.106854648,89.86562853
39.983913,-76.173141,22-04-2020,0.095752537,90.86888547
39.983913,-76.173141,22-04-2020,0.089047519,91.48021023
39.983913,-76.173141,22-04-2020,0.096547494,90.7966774
39.983913,-76.173141,22-04-2020,0.087537594,91.61844278
39.983913,-76.173141,22-04-2020,0.089474346,91.4411723
39.983913,-76.173141,22-04-2020,0.092293351,91.18376218
39.983913,-76.173141,22-04-2020,0.094008929,91.02746345
39.983913,-76.173141,22-04-2020,0.091858658,91.22340775
39.983913,-76.173141,22-04-2020,0.095992361,90.84709562
39.983913,-76.173141,22-04-2020,0.109998586,89.58354017
39.983913,-76.173141,22-04-2020,0.091623506,91.24486161
39.983913,-76.173141,22-04-2020,0.086229817,91.73833769
39.983913,-76.173141,22-04-2020,0.086533875,91.71044818
39.983913,-76.173141,22-04-2020,0.082682665,92.06432531
39.983913,-76.173141,22-04-2020,0.077416545,92.55042589
39.983913,-76.173141,22-04-2020,0.082581501,92.07363936
39.983913,-76.173141,22-04-2020,0.082311902,92.09846571
39.983913,-76.173141,22-04-2020,0.079696297,92.33967424
36.290455,-93.296115,21-04-2020,0.084306069,91.914989
36.290455,-93.296115,21-04-2020,0.086643938,91.70035479
45.81672,-118.49085,21-04-2020,0.08675213,91.69043406
36.290455,-93.296115,21-04-2020,0.084990516,91.85209959
45.81672,-118.49085,21-04-2020,0.0915,91.25613162
36.323437,-93.258022,21-04-2020,0.098269795,90.64043275
36.323437,-93.258022,21-04-2020,0.108647194,89.7046845
36.290455,-93.296115,20-04-2020,0.137715425,87.13466196
36.290455,-93.296115,20-04-2020,0.144167053,86.57431109
43.613763,-116.207543,20-04-2020,0.097743011,90.68819325
36.290455,-93.296115,20-04-2020,0.092576191,91.15797541
36.290455,-93.296115,20-04-2020,0.089714831,91.41918473
43.613763,-116.207543,19-04-2020,0.113049029,89.31068706
43.613763,-116.207543,19-04-2020,0.116488779,89.00400841
36.290455,-93.296115,18-04-2020,0.086072035,91.75281351
43.613763,-116.207543,18-04-2020,0.075615504,92.71726322
36.290455,-93.296115,18-04-2020,0.085825296,91.77545523
36.290455,-93.296115,18-04-2020,0.080574572,92.25861019
36.323437,-93.258022,18-04-2020,0.0773448,92.55706617
36.323437,-93.258022,18-04-2020,0.077905776,92.50515843
43.613763,-116.207543,17-04-2020,0.067202097,93.50062202
43.613763,-116.207543,17-04-2020,0.069857726,93.25264843
43.613763,-116.207543,17-04-2020,0.0767542,92.61174657
43.613763,-116.207543,17-04-2020,0.075305577,92.74600326
43.613763,-116.207543,16-04-2020,0.082319319,92.09778261
36.290455,-93.296115,16-04-2020,0.109050318,89.66852973
36.290455,-93.296115,16-04-2020,0.110536647,89.53535177
36.323437,-93.258022,16-04-2020,0.10770502,89.78924176
36.323437,-93.258022,16-04-2020,0.092187563,91.19340884
36.290455,-93.296115,15-04-2020,0.12851548,87.93999488
36.290455,-93.296115,15-04-2020,0.114226129,89.20562129
43.613763,-116.207543,15-04-2020,0.09438961,90.99281762
36.290455,-93.296115,15-04-2020,0.114940685,89.14190172
43.613763,-116.207543,15-04-2020,0.075962907,92.68505854
36.290455,-93.296115,15-04-2020,0.110893081,89.50344404
36.290455,-93.296115,15-04-2020,0.12149196,88.55981737
36.323437,-93.258022,15-04-2020,0.113912032,89.23364494
36.323437,-93.258022,15-04-2020,0.048565377,95.25950591
43.613763,-116.207543,14-04-2020,0.077018447,92.58727742
43.613763,-116.207543,14-04-2020,0.076854697,92.60243979
43.613763,-116.207543,14-04-2020,0.072917344,92.96776702
36.290455,-93.296115,14-04-2020,0.103796306,90.14088904
36.290455,-93.296115,14-04-2020,0.111715947,89.42982496
36.323437,-93.258022,14-04-2020,0.109473659,89.6305774
36.323437,-93.258022,14-04-2020,0.11341577,89.2779392
36.323437,-93.258022,14-04-2020,0.102232332,90.28197733
43.613763,-116.207543,13-04-2020,0.107894788,89.77220423
43.613763,-116.207543,13-04-2020,0.113691861,89.25329376
43.613763,-116.207543,13-04-2020,0.101269245,90.36896865
43.613763,-116.207543,12-04-2020,0.074462227,92.82425359
43.613763,-116.207543,12-04-2020,0.064148312,93.78658924
43.613763,-116.207543,12-04-2020,0.068261307,93.40163768
41.032002,-74.574892,11-04-2020,0.08887007,91.49644471
43.613763,-116.207543,11-04-2020,0.089747956,91.41615652
43.613763,-116.207543,10-04-2020,0.103821753,90.13859522
36.323437,-93.258022,10-04-2020,0.079049759,92.39939461
36.323437,-93.258022,10-04-2020,0.072028921,93.05039839
36.290455,-93.296115,10-04-2020,0.083149245,92.02137994
36.290455,-93.296115,10-04-2020,0.088685574,91.51332702
43.613763,-116.207543,09-04-2020,0.086961732,91.67121762
36.290455,-93.296115,09-04-2020,0.113776198,89.24576673
43.613763,-116.207543,09-04-2020,0.090948468,91.30647614
36.290455,-93.296115,09-04-2020,0.113737266,89.2492413
36.323437,-93.258022,09-04-2020,0.125894496,88.17078658
41.032002,-74.574892,09-04-2020,0.081264433,92.19498655
36.323437,-93.258022,09-04-2020,0.1219022,88.52349405
43.613763,-116.207543,09-04-2020,0.100983036,90.39483675
43.613763,-116.207543,08-04-2020,0.094549843,90.97823872
43.613763,-116.207543,08-04-2020,0.102912845,90.22056021
36.290455,-93.296115,08-04-2020,0.153066365,85.80727743
38.393661,-82.396001,08-04-2020,0.158196756,85.36817987
43.613763,-116.207543,08-04-2020,0.084233226,91.92168463
43.613763,-116.207543,07-04-2020,0.081541351,92.16945958
43.613763,-116.207543,07-04-2020,0.079599795,92.34858565
43.613763,-116.207543,07-04-2020,0.07379354,92.88634474
41.032002,-74.574892,06-04-2020,0.05983124,94.19234793
38.393661,-82.396001,06-04-2020,0.397354667,67.20956133
41.032002,-74.574892,05-04-2020,0.383943721,68.11697613
38.393661,-82.396001,03-04-2020,0.186234823,83.00786503
41.032002,-74.574892,02-04-2020,0.047463323,95.3645449
36.290455,-93.296115,02-04-2020,0.101764566,90.32421809
36.290455,-93.296115,02-04-2020,0.104671024,90.06207569
36.323437,-93.258022,02-04-2020,0.100692269,90.4211244
36.323437,-93.258022,02-04-2020,0.12129995,88.57682338
43.613763,-116.207543,01-04-2020,0.065783211,93.63338293
41.032002,-74.574892,01-04-2020,0.085641695,91.79230688
36.290455,-93.296115,01-04-2020,0.170582013,84.31739354
36.290455,-93.296115,01-04-2020,0.147009663,86.3285635
36.323437,-93.258022,01-04-2020,0.153829292,85.7418377
36.290455,-93.296115,31-03-2020,0.131927333,87.64046782
36.290455,-93.296115,31-03-2020,0.132477621,87.59225359
36.323437,-93.258022,31-03-2020,0.130650728,87.75242155
36.323437,-93.258022,31-03-2020,0.124278873,88.31335245
36.323437,-93.258022,29-03-2020,0.06277226,93.91573333
36.323437,-93.258022,29-03-2020,0.069757805,93.26196687
36.290455,-93.296115,29-03-2020,0.068971138,93.33536177
36.290455,-93.296115,29-03-2020,0.174374014,83.99826736
43.613763,-116.207543,28-03-2020,0.052642229,94.87193764
43.613763,-116.207543,28-03-2020,0.06415572,93.78589449
41.032002,-74.574892,27-03-2020,0.061672099,94.01911261
43.613763,-116.207543,26-03-2020,0.068239137,93.40370843
41.032002,-74.574892,26-03-2020,0.156636097,85.5015145
36.323437,-93.258022,26-03-2020,0.068943862,93.33790767
43.613763,-116.207543,26-03-2020,0.072194115,93.03502834
36.323437,-93.258022,26-03-2020,0.083998217,91.94328951
36.290455,-93.296115,26-03-2020,0.114975528,89.13879575
36.290455,-93.296115,26-03-2020,0.09472653,90.96216547
43.613763,-116.207543,26-03-2020,0.074526688,92.81827024
36.323437,-93.258022,25-03-2020,0.040803785,96.00174813
36.323437,-93.258022,25-03-2020,0.035574744,96.50506
36.290455,-93.296115,25-03-2020,0.036613222,96.40489358
36.290455,-93.296115,25-03-2020,0.033926566,96.66424862
41.032002,-74.574892,24-03-2020,0.081025327,92.2170335
36.323437,-93.258022,24-03-2020,0.154365672,85.69585982
36.290455,-93.296115,24-03-2020,0.099554633,90.52404929
36.290455,-93.296115,24-03-2020,0.101435688,90.35392861
41.032002,-74.574892,22-03-2020,0.079932752,92.3178426
41.032002,-74.574892,21-03-2020,0.069265319,93.3079084
36.323437,-93.258022,21-03-2020,0.090121241,91.38203858
36.290455,-93.296115,21-03-2020,0.119882987,88.70242236
36.323437,-93.258022,21-03-2020,0.103271494,90.18820845
36.290455,-93.296115,18-03-2020,0.250646949,77.82971014
36.519,-119.546,13-03-2020,0.153845794,85.74042274
36.290455,-93.296115,12-03-2020,0.15855682,85.33744738
36.290455,-93.296115,11-03-2020,0.074649113,92.80690767
36.290455,-93.296115,11-03-2020,0.078122321,92.48512908
36.290455,-93.296115,10-03-2020,0.063627907,93.83540895
36.290455,-93.296115,10-03-2020,0.07321017,92.94054765
38.87449,-121.07341,09-03-2020,0.445033512,64.08028011
36.290455,-93.296115,07-03-2020,0.110412549,89.54646362
36.323437,-93.258022,07-03-2020,0.084875124,91.86269917
36.290455,-93.296115,06-03-2020,0.050751928,95.05144369
36.290455,-93.296115,06-03-2020,0.054057139,94.73779725
38.87449,-121.07341,06-03-2020,0.395545857,67.33124067
38.87449,-121.07341,05-03-2020,0.585946463,55.65788313
42.645678,-78.541322,05-03-2020,0.086307212,91.73123789
36.290455,-93.296115,05-03-2020,0.082162461,92.11223003
36.290455,-93.296115,05-03-2020,0.084424553,91.90409913
38.87449,-121.07341,03-03-2020,0.061419793,94.04283714
36.290455,-93.296115,03-03-2020,0.192249577,82.51009166
36.519,-119.546,03-03-2020,0.103253173,90.18986085
36.519,-119.546,02-03-2020,0.08924591,91.4620632
39.858758,-77.224844,02-03-2020,0.14112605,86.83798451
45,-90,02-03-2020,1,36.78794412
36.290455,-93.296115,29-02-2020,0.060409011,94.13794202
36.323437,-93.258022,29-02-2020,0.055432114,94.6076247
36.323437,-93.258022,29-02-2020,0.05798532,94.36637999
38.87449,-121.07341,28-02-2020,1.114818153,32.79749146
36.290455,-93.296115,28-02-2020,0.059726889,94.20217754
36.290455,-93.296115,28-02-2020,0.064211407,93.78067193
36.290455,-93.296115,28-02-2020,0.060324966,94.14585421
38.87449,-121.07341,27-02-2020,0.070800207,93.164801
38.87449,-121.07341,26-02-2020,0.069458037,93.28992798
36.519,-119.546,25-02-2020,0.139102774,87.01385962
36.290455,-93.296115,24-02-2020,0.105445071,89.99239037
36.290455,-93.296115,24-02-2020,0.097269439,90.73115077
36.519,-119.546,24-02-2020,0.151582407,85.93470635
39.858758,-77.224844,23-02-2020,0.313141273,73.11466141
36.290455,-93.296115,21-02-2020,0.054057139,94.73779725
36.290455,-93.296115,21-02-2020,0.048797039,95.23744053
38.392,-82.2865,21-02-2020,0.061483335,94.03686168
36.290455,-93.296115,21-02-2020,0.049714715,95.15008344
41.66123,-83.61266,21-02-2020,0.089713258,91.41932851
36.290455,-93.296115,21-02-2020,0.051150932,95.01352541
36.290455,-93.296115,20-02-2020,0.196074218,82.19512289
36.290455,-93.296115,20-02-2020,0.168790059,84.46862186
36.290455,-93.296115,20-02-2020,0.108972459,89.67551145
41.66123,-83.61266,19-02-2020,0.059147272,94.2567945
36.290455,-93.296115,19-02-2020,0.076371951,92.64715404
36.290455,-93.296115,19-02-2020,0.064409933,93.76205591
42.704682,-83.120032,19-02-2020,0.057124153,94.44768026
36.290455,-93.296115,19-02-2020,0.064520235,93.75171433
36.519,-119.546,19-02-2020,0.16828423,84.51135935
39.858758,-77.224844,17-02-2020,0.097426675,90.71688577
36.290455,-93.296115,16-02-2020,0.141095397,86.84064648
36.290455,-93.296115,14-02-2020,0.053013027,94.83676576
36.290455,-93.296115,14-02-2020,0.052200967,94.91381023
38.87449,-121.07341,13-02-2020,0.092229931,91.18954528
36.290455,-93.296115,13-02-2020,0.053509336,94.7897091
36.290455,-93.296115,13-02-2020,0.046954901,95.41304273
36.290455,-93.296115,13-02-2020,0.040572882,96.02391779
