latitude,longitude,measured_on,depth level (cm),maximum temp (deg C),minimum temp (deg C),average temp (deg C)
41.6065,-93.6956,01-11-2011,5,10.6,2.2,5.6
41.6065,-93.6956,01-11-2011,10,10,4.4,6.8
41.6065,-93.6956,01-11-2011,50,11.1,6.7,8.5
41.6065,-93.6956,01-12-2011,5,5.6,0,1.4
41.6065,-93.6956,01-12-2011,10,4.4,1.7,2.5
41.6065,-93.6956,01-12-2011,50,6.7,2.8,4.1
41.6065,-93.6956,01-01-2012,5,10,-0.6,0.6
41.6065,-93.6956,01-01-2012,10,10,0.6,1.4
41.6065,-93.6956,01-01-2012,50,10,1.7,2.6
41.6065,-93.6956,01-02-2012,5,10,0,1.4
41.6065,-93.6956,01-02-2012,10,10,0,1.6
41.6065,-93.6956,01-02-2012,50,10,0,2.3
41.6065,-93.6956,01-03-2012,5,18.9,0.6,10.1
41.6065,-93.6956,01-03-2012,10,13.9,0,8.3
41.6065,-93.6956,01-03-2012,50,12.8,0,7.5
41.6065,-93.6956,01-05-2012,5,30.6,10,20.5
41.6065,-93.6956,01-05-2012,10,30.6,13.9,18.7
41.6065,-93.6956,01-05-2012,50,20,12.8,17.1
41.6065,-93.6956,01-06-2012,5,30,13.9,23
41.6065,-93.6956,01-06-2012,10,25,16.1,21
41.6065,-93.6956,01-06-2012,50,22.8,17.2,20
41.6065,-93.6956,01-07-2012,5,33.9,22.2,27.1
41.6065,-93.6956,01-07-2012,10,28.3,23.3,25.5
41.6065,-93.6956,01-07-2012,50,25.6,22.2,24
41.6065,-93.6956,01-08-2012,5,32.2,17.2,24.2
41.6065,-93.6956,01-08-2012,10,27.2,19.4,23
41.6065,-93.6956,01-08-2012,50,25,20.6,22.5
41.6065,-93.6956,01-09-2012,5,40,11.7,19.2
41.6065,-93.6956,01-09-2012,10,23.9,15,18.5
41.6065,-93.6956,01-09-2012,50,22.2,16.7,18.9
41.6065,-93.6956,01-10-2012,5,19.4,5,12
41.6065,-93.6956,01-10-2012,10,17.2,8.3,12.6
41.6065,-93.6956,01-10-2012,50,16.7,10,13.7
41.6065,-93.6956,01-11-2012,5,13.3,1.1,6.2
41.6065,-93.6956,01-11-2012,10,11.7,3.3,7.3
41.6065,-93.6956,01-11-2012,50,11.1,5.6,8.8
41.6065,-93.6956,01-12-2012,5,10,0.6,3.5
41.6065,-93.6956,01-12-2012,10,7.8,2.8,4.4
41.6065,-93.6956,01-12-2012,50,7.8,3.9,5.6
41.6065,-93.6956,01-04-2013,5,19.4,3.3,9.7
41.6065,-93.6956,01-04-2013,10,13.9,5,8
41.6065,-93.6956,01-04-2013,50,10.6,5,7.4
41.6065,-93.6956,01-05-2013,5,23.9,3.9,15.8
41.6065,-93.6956,01-05-2013,10,19.4,5.6,14.1
41.6065,-93.6956,01-05-2013,50,18.9,7.8,13
41.6065,-93.6956,01-06-2013,5,31.1,10,21.1
41.6065,-93.6956,01-06-2013,10,24.4,0,18.6
41.6065,-93.6956,01-06-2013,50,25,0,17.1
