gbifID,species,decimalLatitude,decimalLongitude,day,month,year,rain,temp,soil_temp,optical_thickness,transmission_percent
2429483029,Lepus americanus,45.542032,-116.025836,5,10,2019,79.1,9.8,21,0.062967076,93.89743882
2429414851,Lepus americanus,48.00143,-119.650167,5,10,2019,79.1,9.8,21,0.062967076,93.89743882
2429413901,Lepus americanus,47.384583,-91.244627,6,10,2019,118.4,5.9,16.1,0.108946065,89.67787839
2429411325,Lepus californicus,36.100019,-118.848693,16,8,2007,7,26.1,26.3,0.1097,89.61029259
2429395491,Lepus californicus,31.76985,-98.068098,5,10,2019,206.6,17.9,17.1,0.2322,79.27875499
2429371289,Lepus californicus,33.49417,-111.926052,2,10,2018,27.1,21.1,7.2,0.144582756,86.53832935
2429360675,Lepus californicus,37.416728,-122.069725,3,10,2019,0,17,21,0.04889265,95.22833516
2429358114,Lepus californicus,33.288807,-116.655239,2,10,2019,0,22,21,0.138774188,87.04245586
2429357203,Lepus californicus,37.498934,-122.224315,11,9,2019,2.3,22.4,27.1,0.124577655,88.28696991
2429353643,Lepus californicus,37.177318,-120.613625,20,2,2019,157.7,9.3,-1.9,0.073333595,92.92907717
2429345977,Lepus californicus,30.722868,-97.245439,25,8,2019,170.9,29.1,27.1,0.112456524,89.36361983
2429311578,Lepus californicus,37.996407,-122.478179,29,9,2019,2.3,22.4,27.1,0.124577655,88.28696991
2429309090,Lepus californicus,33.237093,-111.76895,24,11,2018,58.6,17.6,2.7,0.459580347,63.15486213
2429283232,Lepus americanus,47.086708,-92.478446,1,6,2019,91,20.5,24.5,0.128430622,87.94745764
2429264263,Lepus americanus,47.319363,-91.216275,22,9,2019,44.9,17.7,24.3,0.136230965,87.26410594
2429260243,Lepus americanus,48.917595,-117.089,22,9,2019,33.3,17.1,24.3,0.160055485,85.20965091
2429203972,Lepus californicus,27.779163,-98.203828,7,5,2019,186.3,22.7,22.5,0.43141627,64.95884503
2429199243,Lepus californicus,27.779052,-98.203814,11,4,2019,54.4,18.4,15.9,0.158018687,85.38338262
2429198608,Lepus californicus,33.257553,-116.292878,30,3,2019,76.5,15,13.3,0.087902439,91.58502236
2429196561,Lepus californicus,33.175963,-116.10181,20,2,2019,157.7,10.4,-1.9,0.073333595,92.92907717
2426920538,Lepus californicus,40.75,-73.87,18,5,2012,116.2,19,20.5,0.1642,84.85722904
